,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5
15850,2022-03-17 15:15:00,2815.3,2828.0,2808.25,2820.0,66075,2022-03-17 15:29:00,2022-03-17 15:15:00,87612.14987036017,26200.127562929785,0.45512948256689423,2.433234109981376,1.026242594155275
15851,2022-03-21 09:15:00,2821.0,2860.0,2810.0,2848.75,45045,2022-03-21 10:14:00,2022-03-21 09:15:00,87609.51423327503,26201.316363865757,0.2150871831792124,2.3229436903529788,1.0596728981304018
15852,2022-03-21 10:15:00,2848.75,2848.8,2818.3,2825.1,23723,2022-03-21 11:14:00,2022-03-21 10:15:00,87606.75321671834,26201.160032801363,-0.02828731737918631,1.851947589740947,1.0874269059966744
15853,2022-03-21 11:15:00,2825.1,2860.0,2821.0,2836.55,29106,2022-03-21 12:14:00,2022-03-21 11:15:00,87603.99328799694,26201.343257222154,0.0331566705324588,1.4944312003218525,1.1114821459709987
15854,2022-03-21 12:15:00,2836.55,2842.2,2792.55,2800.4,80501,2022-03-21 13:14:00,2022-03-21 12:15:00,87602.2919307564,26204.76802270577,0.6198037834468038,1.2948898023461806,1.124839899709374
15855,2022-03-21 13:15:00,2800.4,2809.2,2791.15,2794.8,17741,2022-03-21 14:14:00,2022-03-21 13:15:00,87599.55523912114,26204.234233097883,-0.09661275345514861,0.7431475663241378,1.1242153870094793
15856,2022-03-21 14:15:00,2794.0,2795.2,2774.5,2793.35,40468,2022-03-21 15:14:00,2022-03-21 14:15:00,87596.86625466748,26205.133757961783,0.1628239325431147,0.6908843156880402,1.118219453554823
15857,2022-03-21 15:15:00,2793.35,2793.4,2775.0,2782.0,16703,2022-03-21 15:29:00,2022-03-21 15:15:00,87594.13679543309,26204.53455669063,-0.108472266572824,0.6106993664944025,1.1124135398792636
15858,2022-03-22 09:15:00,2784.05,2793.55,2736.1,2741.75,25072,2022-03-22 10:14:00,2022-03-22 09:15:00,87591.3755596931,26204.463143956113,-0.012928934346787881,0.5646137616151558,1.1094473157509577
15859,2022-03-22 10:15:00,2741.75,2742.0,2730.0,2733.05,15400,2022-03-22 11:14:00,2022-03-22 10:15:00,87588.65613788206,26203.781904161413,-0.12334681659179814,-0.17853683842344614,1.1067911897115574
15860,2022-03-22 11:15:00,2733.05,2736.05,2725.0,2733.0,22736,2022-03-22 12:14:00,2022-03-22 11:15:00,87585.89928945593,26203.563268394173,-0.03959042832836012,-0.12151451329665766,1.0956885551458089
15861,2022-03-22 12:15:00,2733.0,2755.0,2726.3,2750.35,33993,2022-03-22 13:14:00,2022-03-22 12:15:00,87583.16021022601,26204.05434371454,0.08893200059908368,-0.19540644524068868,1.0822042066222441
15862,2022-03-22 13:15:00,2750.05,2784.5,2749.1,2777.0,45107,2022-03-22 14:14:00,2022-03-22 13:15:00,87580.5281457686,26205.245981214146,0.21582142079944833,0.12888724213158365,1.0814436858763081
15863,2022-03-22 14:15:00,2777.0,2785.0,2763.15,2779.1,55405,2022-03-22 15:14:00,2022-03-22 14:15:00,87578.07457482396,26207.08661119516,0.3333929585750262,0.47520913505339774,1.0862854703893958
15864,2022-03-22 15:15:00,2778.15,2788.45,2773.85,2786.0,16397,2022-03-22 15:29:00,2022-03-22 15:15:00,87575.34905924043,26206.468263473053,-0.11201175180971792,0.48654419983547803,1.0952302851256548
15865,2022-03-23 09:15:00,2790.0,2810.05,2757.1,2761.1,25269,2022-03-23 10:14:00,2022-03-23 09:15:00,87572.5894886486,26206.40917685617,-0.010704367454815069,0.515430260709023,1.1178212781883305
15866,2022-03-23 10:15:00,2761.0,2767.65,2727.1,2731.1,27096,2022-03-23 11:14:00,2022-03-23 10:15:00,87569.83014747335,26206.46524232684,0.010158004830831844,0.43665626494077114,1.1406567488081978
15867,2022-03-23 11:15:00,2730.0,2740.65,2701.0,2707.85,46325,2022-03-23 12:14:00,2022-03-23 11:15:00,87567.21641948081,26207.733110662968,0.2297351418933719,0.4505699860346948,1.137066304872168
15868,2022-03-23 12:15:00,2707.85,2711.0,2686.55,2693.0,53131,2022-03-23 13:14:00,2022-03-23 12:15:00,87564.71811815555,26209.429705715545,0.3074476898099278,0.42462471726959633,1.1064475404500853
15869,2022-03-23 13:15:00,2692.9,2711.95,2690.0,2698.6,51765,2022-03-23 14:14:00,2022-03-23 13:15:00,87562.19423644143,26211.040012602396,0.2918378212221938,0.8284742903015081,1.073530777342107
15870,2022-03-23 14:15:00,2698.6,2747.95,2695.4,2746.05,78826,2022-03-23 15:14:00,2022-03-23 14:15:00,87560.43161535604,26214.355176107365,0.6008609580068104,1.4400396157631334,1.0382134419042124
15871,2022-03-23 15:15:00,2746.05,2746.55,2710.0,2729.0,34761,2022-03-23 15:29:00,2022-03-23 15:15:00,87557.69952072996,26214.89364919355,0.09760542359593509,1.5274870345282368,0.9963177790183918
15872,2022-03-24 09:15:00,2731.0,2769.25,2690.0,2758.75,18227,2022-03-24 10:14:00,2022-03-24 09:15:00,87554.96436147581,26214.39041139041,-0.09122715621713921,1.2065247364177256,0.9668552195893421
15873,2022-03-24 10:15:00,2758.75,2778.8,2741.0,2774.9,21913,2022-03-24 11:14:00,2022-03-24 10:15:00,87552.21316354992,26214.119440594684,-0.049126335990617116,0.8499507106171807,0.9396101611390865
