,dt,o,h,l,c,v,e_dt,calculate_change_1,calculate_stdv_1_5,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_10,calculate_annualized_volatility_2,calculate_avg_volatility_2_10
92,2024-01-18 10:15:00,1505.95,1509.9,1500.55,1504.95,7575318,2024-01-18 11:14:00,-0.0006642532377490806,0.008838378167552882,0.14030490374692617,0.13467667583497284,-0.0006642532377490806,0.01756934808597905,0.27890475439817536,0.26024365482548784
93,2024-01-18 11:15:00,1504.95,1513.75,1499.6,1513.15,6892862,2024-01-18 12:14:00,0.00543389561440966,0.010140959465702402,0.16098274081101,0.09683464698373809,0.00543389561440966,0.01799796061092559,0.28570876729707145,0.28389254714075907
94,2024-01-18 12:15:00,1513.35,1513.45,1494.1,1496.25,7694159,2024-01-18 13:14:00,-0.01123159278195821,0.010455883603890923,0.165982006519999,0.12654196646347665,-0.01123159278195821,0.00745448086620863,0.11833621515046433,0.2665068174334636
95,2024-01-18 13:15:00,1496.15,1496.95,1480.55,1484.35,9657604,2024-01-18 14:14:00,-0.007985011896269918,0.009996094582011637,0.15868308207529766,0.15179770833727618,-0.007985011896269918,0.007487776360030445,0.118864764729054,0.24933690556150195
96,2024-01-18 14:15:00,1484.25,1488.3,1480.05,1485.15,15389722,2024-01-18 15:14:00,0.0005388112607205242,0.0060246249645126366,0.09563795639119063,0.1443181379088847,0.0005388112607205242,0.007705305692037675,0.1223179358211728,0.23317979414249695
97,2024-01-18 15:15:00,1485.2,1491.0,1484.55,1490.85,5706082,2024-01-18 15:29:00,0.0038306498454907054,0.006582988095732298,0.10450169631003792,0.13715749642150704,0.0038306498454907054,0.008173349195208415,0.12974789609406828,0.2177596759359104
98,2024-01-19 09:15:00,1505.95,1510.25,1488.65,1489.8,17109129,2024-01-19 10:14:00,-0.0007045443399483223,0.005603546565550514,0.08895354403450054,0.12275165706620514,-0.0007045443399483223,0.008246168168676326,0.13090386146120692,0.20263333780971854
99,2024-01-19 10:15:00,1489.8,1497.25,1482.6,1484.1,6815323,2024-01-19 11:14:00,-0.003833354840403331,0.004015466437972275,0.06374355355680605,0.10230396647356657,-0.003833354840403331,0.008225806619719035,0.13058063189211255,0.18778427137522147
100,2024-01-19 11:15:00,1484.15,1488.0,1482.55,1483.65,4081458,2024-01-19 12:14:00,-0.0003032600478130457,0.002457749161561536,0.03901555839881599,0.07837046173827023,-0.0003032600478130457,0.008208998482159963,0.13031381098021175,0.17303419103070736
101,2024-01-19 12:15:00,1483.65,1485.75,1480.0,1480.95,5684335,2024-01-19 13:14:00,-0.001821494128391132,0.002516768922137277,0.03995246805234791,0.06723336407050168,-0.001821494128391132,0.0047478338562177485,0.07536952589882975,0.15210481637223672
102,2024-01-19 13:15:00,1480.85,1481.95,1470.05,1470.2,6964737,2024-01-19 14:14:00,-0.0072853277855810614,0.002559983005054427,0.04063847035155493,0.05446071887880508,-0.0072853277855810614,0.005015003557118296,0.0796107134174359,0.13217541227416277
103,2024-01-19 14:15:00,1470.2,1474.8,1468.4,1470.05,10383640,2024-01-19 15:14:00,-0.00010203214021275341,0.0026672277777228647,0.042340928338908984,0.04513819573968677,-0.00010203214021275341,0.004393813046397336,0.06974961976847073,0.1105794975213027
104,2024-01-19 15:15:00,1469.95,1474.9,1469.0,1474.9,3693271,2024-01-19 15:29:00,0.0032937770656821324,0.003452872522301636,0.05481265201691072,0.043352015431707705,0.0032937770656821324,0.0037497461654825122,0.05952537500090867,0.10469841350634715
105,2024-01-20 09:15:00,1483.2,1495.7,1477.0,1483.8,4418302,2024-01-20 10:14:00,0.006016173889968859,0.004548527759106633,0.07220563969242035,0.04999003169042858,0.006016173889968859,0.003656241075154736,0.05804102770895311,0.09861603980433706
106,2024-01-20 10:15:00,1482.95,1490.25,1481.75,1489.0,1301625,2024-01-20 11:14:00,0.003498388928583495,0.00461499832042059,0.07326082714088196,0.056651703508135386,0.003498388928583495,0.0038075300411080024,0.06044266558907587,0.09242851278112735
107,2024-01-20 11:15:00,1488.7,1489.4,1479.05,1485.8,1562181,2024-01-20 12:14:00,-0.002151405966303154,0.0028858208056085316,0.04581098507961748,0.05768620645374789,-0.002151405966303154,0.0036666947061306902,0.058206973956113205,0.08527442056733184
108,2024-01-20 12:15:00,1485.9,1485.9,1476.0,1483.4,2081373,2024-01-20 13:14:00,-0.0016165974152480237,0.003167915363354055,0.050289097355613904,0.05927584025708889,-0.0016165974152480237,0.003685937972628875,0.05851245134151363,0.07803527955536252
109,2024-01-20 13:15:00,1483.25,1486.0,1481.15,1482.05,1056919,2024-01-20 14:14:00,-0.0009104858239126634,0.0032195176981067546,0.05110825902456959,0.058534961658620654,-0.0009104858239126634,0.0035165055637523005,0.05582279523398146,0.0705594958895494
110,2024-01-20 14:15:00,1482.3,1483.5,1476.0,1479.6,1922450,2024-01-20 15:14:00,-0.0016544835202462766,0.0020707480302630857,0.03287210589571787,0.05066825489928016,-0.0016544835202462766,0.0035460870409145372,0.056292386625892754,0.0631573534541175
