,dt,o,h,l,c,v,e_dt,calculate_change_1,calculate_stdv_1_5,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,dt,o,h,l,c,v,e_dt,calculate_change_2,calculate_stdv_2_10,calculate_annualized_volatility_2,calculate_avg_volatility_2_10
74,2024-01-15 13:15:00,1039.95,1040.2,1037.2,1038.85,4816,2024-01-15 14:14:00,-0.0010583029658142243,0.010163311603698788,0.16133757000146423,0.14515564935109088,2024-01-15 13:15:00,1039.95,1040.2,1037.2,1038.85,4816,2024-01-15 14:14:00,-0.0010583029658142243,0.00770893181782987,0.1223754987835855,0.09191570474500163
75,2024-01-15 14:15:00,1038.85,1040.15,1023.2,1023.2,14889,2024-01-15 15:14:00,-0.015179360826161989,0.007447848119457595,0.11823092355998926,0.14179044408933236,2024-01-15 14:15:00,1038.85,1040.15,1023.2,1023.2,14889,2024-01-15 15:14:00,-0.015179360826161989,0.009096431719075914,0.14440137688052776,0.09681115386666736
76,2024-01-15 15:15:00,1023.2,1041.0,1015.2,1028.0,12865,2024-01-15 15:29:00,0.0046801957504774986,0.006801076684437417,0.1079637453270067,0.13733310412706684,2024-01-15 15:15:00,1023.2,1041.0,1015.2,1028.0,12865,2024-01-15 15:29:00,0.0046801957504774986,0.00923072228383835,0.1465331735072307,0.10473313261590023
77,2024-01-16 09:15:00,1032.3,1075.0,1032.3,1049.0,36389,2024-01-16 10:14:00,0.020222162381186688,0.012228006372316389,0.19411358334757353,0.14865031902194262,2024-01-16 09:15:00,1032.3,1075.0,1032.3,1049.0,36389,2024-01-16 10:14:00,0.020222162381186688,0.010890298228471582,0.17287812489517845,0.11524415610119329
78,2024-01-16 10:15:00,1049.0,1053.5,1037.05,1039.95,11834,2024-01-16 11:14:00,-0.008664694339688014,0.01214454619895172,0.19278869416896605,0.15488690328099994,2024-01-16 10:15:00,1049.0,1053.5,1037.05,1039.95,11834,2024-01-16 11:14:00,-0.008664694339688014,0.011336976214527885,0.1799689180985714,0.12798368432821358
79,2024-01-16 11:15:00,1039.0,1040.0,1020.75,1021.75,15056,2024-01-16 12:14:00,-0.017655791612222426,0.014092279150695292,0.2237079962330416,0.16736098852731543,2024-01-16 11:15:00,1039.0,1040.0,1020.75,1021.75,15056,2024-01-16 12:14:00,-0.017655791612222426,0.012560550987155932,0.19939256545176867,0.14171943442740761
80,2024-01-16 12:15:00,1022.3,1024.35,1010.6,1017.5,14307,2024-01-16 13:14:00,-0.004168205127636602,0.012874599022209979,0.2043779234546577,0.18459038850624912,2024-01-16 12:15:00,1022.3,1024.35,1010.6,1017.5,14307,2024-01-16 13:14:00,-0.004168205127636602,0.010690599533315187,0.16970800638801095,0.1471837825190579
81,2024-01-16 13:15:00,1017.5,1022.4,1016.55,1020.0,4101,2024-01-16 14:14:00,0.002453988961566787,0.012703767923000478,0.20166606382643285,0.20333085220613434,2024-01-16 13:15:00,1017.5,1022.4,1016.55,1020.0,4101,2024-01-16 14:14:00,0.002453988961566787,0.010365963542597912,0.16455456979965705,0.15311317835277594
82,2024-01-16 14:15:00,1020.0,1020.0,1008.0,1015.5,20064,2024-01-16 15:14:00,-0.004421525257877374,0.006619191004577016,0.1050763996712795,0.18552341547087553,2024-01-16 14:15:00,1020.0,1020.0,1008.0,1015.5,20064,2024-01-16 15:14:00,-0.004421525257877374,0.010336105434054254,0.1640805870207053,0.15858570945121694
83,2024-01-16 15:15:00,1015.5,1024.7,1012.0,1012.0,4525,2024-01-16 15:29:00,-0.0034525311730285034,0.0066052255592609485,0.10485470509975199,0.16793661765703272,2024-01-16 15:15:00,1015.5,1024.7,1012.0,1012.0,4525,2024-01-16 15:29:00,-0.0034525311730285034,0.010147999501376738,0.16109449791270192,0.16249873187379377
